Date,Revenue,COGS,Operating_Expenses,Net_Profit,Assets,Liabilities,Equity,Cash_Inflow,Cash_Outflow,Net_Cash_Flow
01-01-2024,120000,40000,30000,50000,300000,150000,150000,100000,70000,30000
01-02-2024,130000,42000,32000,56000,320000,155000,165000,110000,72000,38000
01-03-2024,125000,41000,31000,53000,330000,160000,170000,105000,71000,34000
01-04-2024,140000,45000,33000,62000,350000,170000,180000,120000,75000,45000
01-05-2024,150000,47000,35000,68000,370000,175000,195000,130000,78000,52000
01-06-2024,155000,48000,36000,71000,390000,180000,210000,135000,80000,55000
01-07-2024,160000,50000,37000,73000,410000,190000,220000,140000,82000,58000
01-08-2024,170000,52000,38000,80000,430000,200000,230000,150000,85000,65000
01-09-2024,165000,51000,37000,77000,450000,210000,240000,145000,83000,62000
01-10-2024,180000,55000,40000,85000,470000,220000,250000,160000,90000,70000
01-11-2024,190000,58000,42000,90000,500000,230000,270000,170000,95000,75000
01-12-2024,200000,60000,45000,95000,520000,240000,280000,180000,100000,80000
